Job Title,Company,Location,URL,Source,Date Posted,Description
Driver Parttime,Lieferando,"Mannheim, Baden-Württemberg",https://www.adzuna.de/land/ad/5564400514?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=A070737E4503659DA41420E72E96E5AB2064093B,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Mannheim? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit y…"
Driver Parttime,Lieferando,"Fürth, Fürth (Kreis)",https://www.adzuna.de/land/ad/5564400596?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=36BDC3033E8828E853370684161F65B3B3C9C381,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Furth? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit your…"
Driver Weekend,Lieferando,"Bamberg, Bamberg (Kreis)",https://www.adzuna.de/land/ad/5564400560?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=F10D136E930D9EC2DF4B75703DA34E687755F595,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Bamberg? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Weekend for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit you…"
Driver Parttime,Lieferando,"München, München (Kreis)",https://www.adzuna.de/land/ad/5564400592?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=41D4B51E66A661A4D61DCD908BF3932A6F332017,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Munich? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit you…"
Driver Weekend,Lieferando,"Dresden, Sachsen",https://www.adzuna.de/land/ad/5564400666?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=73A28C0E48F44B9537296DAF65BF6F23CCE0ACED,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Dresden? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Weekend for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit you…"
Driver Weekend,Lieferando,"München, München (Kreis)",https://www.adzuna.de/land/ad/5564400520?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=7D3BB2EAD7587E30603DDD43EFFFF8D8D1FE03A9,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Munich? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Weekend for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit your…"
Driver Weekend,Lieferando,"Karlsruhe, Karlsruhe (Kreis)",https://www.adzuna.de/land/ad/5564400527?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=A3DFE58DAAAC5DC039E44421D7506D008FCE4990,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Karlsruhe? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Weekend for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit y…"
Driver Parttime,Lieferando,"Nürnberg, Bayern",https://www.adzuna.de/land/ad/5564400519?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=4EFCC4FB3C30C3204D1BD68BE9D66E5A15A484BD,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Nuremberg? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit …"
Driver Parttime,Lieferando,"Frankfurt am Main, Hessen",https://www.adzuna.de/land/ad/5564400683?se=7GlhpVLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=BFA29975BA5A475E067A5B67CE0B5A20B735A608,Adzuna (DE),2026-01-02T08:29:00Z,"Ready to get moving, Frankfurt? We’re looking for new couriers to spread some delivery joy to our customers. Working as a Driver Parttime for Lieferando, you’re our on-road heroes and help to keep us moving. Whether you’ve got the pizzas for a party or the groceries for dinner, every delivery is a big event, and your chance to make someone’s day. We offer a range contracts, so if you’re part-time or full-time, at the wheel of your car, scooter or the seat of your bike, we’ve got shifts to suit …"
Réapprovisionneur Drive / Réapprovisionneuse Drive,TEMPORIS,"Vienne, Nouvelle-Aquitaine",https://www.adzuna.fr/land/ad/5566998810?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=0B9A83C030298CA83512535842D4FC2139A18941,Adzuna (FR),2026-01-04T16:36:21Z,"Tu préfères bouger plutôt que rester assis derrière un bureau ? Tu sais faire la différence entre un stock bien rangé et un champ de bataille ? Bonne nouvelle, on cherche un réapprovisionneur drive pour une grande surface située à deux pas de Vienne. Ta mission, si tu l'acceptes, consistera à remettre de l'ordre dans les rayons destinés au drive. Pas de costume-cravate ici, mais de l'efficacité, de l'organisation et un bon rythme. Tu seras au cœur de l'action, entre les arrivages, les remplissa…"
Drive H/F,Groupement Mousquetaires,"Hésingue, Saint-Louis",https://www.adzuna.fr/land/ad/5483116466?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=F761078DF025BEED9D24CD2C09737AF4760CE7B4,Adzuna (FR),2025-11-06T04:54:44Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires,"Neuf-Brisach, Colmar",https://www.adzuna.fr/land/ad/5479174450?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=327140E5C7DBD69B970DF308BF0D1F0F17B06DB9,Adzuna (FR),2025-11-04T02:37:38Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires,"Poissy-Sud, Saint-Germain-en-Laye",https://www.adzuna.fr/land/ad/5458370821?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=DF22544DD547154D73B8182999EFEAE42E3C7379,Adzuna (FR),2025-10-22T03:25:28Z,"Driver en temps partiel, Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous…"
Preparateur Drive H/F,Groupement Mousquetaires,"Coudekerque-Branche, Dunkerque",https://www.adzuna.fr/land/ad/5458322833?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=D26B6AEB04ECC754EE3E04407C0B67A4F8DAFD02,Adzuna (FR),2025-10-22T03:08:10Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires,"Evian-les-Bains, Thonon-les-Bains",https://www.adzuna.fr/land/ad/5538983598?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=304558CB3F0E505F0648AC510490F1C51E36667F,Adzuna (FR),2025-12-12T04:53:40Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires,"Ecueillé, Châteauroux",https://www.adzuna.fr/land/ad/5458373566?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=849380647B19351BEF0BB9ADB057C1991AAE0CB4,Adzuna (FR),2025-10-22T03:25:45Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires,"Perros-Guirec, Lannion",https://www.adzuna.fr/land/ad/5458368847?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=BE2B5C07045EE6F68631091BF39242A7C81BD99B,Adzuna (FR),2025-10-22T03:25:14Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires," Gémenos, La Ciotat",https://www.adzuna.fr/land/ad/5559083920?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=D3E59BE7575E2C7ABABC7BEFB29E6D73008E03BE,Adzuna (FR),2025-12-29T14:47:23Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
Preparateur Drive H/F,Groupement Mousquetaires,"Bourgoin-Jallieu-Sud, La Tour-du-Pin",https://www.adzuna.fr/land/ad/5561986898?se=kNcDplLq8BGymLeANbyKnQ&utm_medium=api&utm_source=99dc4fbe&v=A8B3D7349B890D7A4E587DB5A909AA6AC8BE3621,Adzuna (FR),2026-01-01T04:46:03Z,"Vous contribuez activement au développement de l'activité Drive du point de vente : - De la récupération d'une commande jusqu'à sa clôture, vous suivez chaque étape de préparation afin d'optimiser le processus ; - Vous préparez chaque commande dans le respect des incontournables qualité définis et dans un souci constant de satisfaction client (choix et respect du produit, respect de la chaîne du froid etc.) ; - Ambassadeur de l'enseigne dans le cadre de ce service, vous offrez à votre client un…"
